광역시도,지자체명,년도,월,일,요일,배출량(kg),배출량비율(일),배출회수,배출회수비율(일)
서울특별시,종로구,2017,10,19,5,"2,320,050",0.02065247,"1,755",0.027138141
서울특별시,종로구,2017,10,20,6,"2,262,100",0.020136615,"1,659",0.025653662
서울특별시,종로구,2017,10,21,7,"2,371,150",0.021107349,"1,659",0.025653662
서울특별시,종로구,2017,10,22,1,"2,858,700",0.02544739,"1,947",0.030107101
서울특별시,종로구,2017,10,23,2,"2,790,650",0.024841627,"1,940",0.029998857
서울특별시,종로구,2017,10,24,3,"2,468,000",0.021969482,"1,774",0.027431945
서울특별시,종로구,2017,10,25,4,"2,431,850",0.021647684,"1,731",0.026767022
서울특별시,종로구,2017,10,26,5,"2,386,100",0.02124043,"1,715",0.026519608
서울특별시,종로구,2017,10,27,6,"2,278,300",0.020280823,"1,661",0.025684589
서울특별시,종로구,2017,10,28,7,"2,482,400",0.022097667,"1,697",0.026241268
서울특별시,종로구,2017,10,29,1,"2,700,900",0.024042696,"1,797",0.027787601
서울특별시,종로구,2017,10,30,2,"2,797,250",0.024900378,"1,825",0.028220574
서울특별시,종로구,2017,10,31,3,"2,449,750",0.021807026,"1,673",0.025870149
서울특별시,종로구,2017,11,01,4,"2,565,700",0.022348981,"1,740",0.030211008
서울특별시,종로구,2017,11,02,5,"2,456,300",0.021396033,"1,663",0.028874084
서울특별시,종로구,2017,11,03,6,"2,434,650",0.021207447,"1,647",0.028596282
서울특별시,종로구,2017,11,04,7,"2,437,850",0.021235321,"1,563",0.027137819
서울특별시,종로구,2017,11,05,1,"3,044,800",0.026522266,"1,764",0.030627712
서울특별시,종로구,2017,11,06,2,"2,976,550",0.025927762,"1,846",0.032051449
서울특별시,종로구,2017,11,07,3,"2,752,100",0.023972651,"1,826",0.031704196
서울특별시,종로구,2017,11,08,4,"2,540,200",0.022126859,"1,687",0.029290788
서울특별시,종로구,2017,11,09,5,"2,595,100",0.022605075,"1,712",0.029724854
서울특별시,종로구,2017,11,10,6,"2,423,300",0.021108581,"1,573",0.027311446
